"TREATMENT RESEARCH INSTITUTE, INC. (TRI)",1967423;
UNIVERSITY OF MINNESOTA,8613024;
"CHILDREN'S MERCY HOSP (KANSAS CITY, MO)",6821788;
THE MIND RESEARCH NETWORK,9345409;
UNIVERSITY OF ALABAMA AT BIRMINGHAM,1899214;
UNIVERSITY OF COLORADO,6678530;
UNIVERSITY OF CALIFORNIA LOS ANGELES,8148894;
MEDICAL UNIVERSITY OF SOUTH CAROLINA,7105467;
DUKE UNIVERSITY,1878097;
WASHINGTON UNIVERSITY,1864292;
UNIVERSITY OF PUERTO RICO MED SCIENCES,9097110;1878173 (contact);
UNIVERSITY OF CALIFORNIA BERKELEY,1858926;
SCRIPPS FLORIDA,1980979;
UNIVERSITY OF MARYLAND BALTIMORE,1870290;
UNIVERSITY OF MARYLAND BALTIMORE,1858514;
YALE UNIVERSITY,6879232;
NORTHWESTERN UNIVERSITY AT CHICAGO,1866344;
UNIV OF MASSACHUSETTS MED SCH WORCESTER,6624700;
SOUTHERN CALIFORNIA INST FOR RES/EDUC,1874254;
FLORIDA INTERNATIONAL UNIVERSITY,9409539;
STATE UNIVERSITY OF NEW YORK AT BUFFALO,1881483;
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,1858809;
UNIVERSITY OF MICHIGAN,6265280;7354078 (contact);
INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,1899198;
SCRIPPS RESEARCH INSTITUTE,1867180;
UNIVERSITY OF KENTUCKY,6368360;
ARKANSAS CHILDREN'S HOSPITAL RES INST,1861876;
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,1862457;
ERNEST GALLO CLINIC AND RESEARCH CENTER,1864297;
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,7083688;
PACIFIC INSTITUTE FOR RES AND EVALUATION,1874175;
PUBLIC HEALTH INSTITUTE,8881584;1871191 (contact);
BOSTON UNIVERSITY MEDICAL CAMPUS,9634431;
UNIVERSITY OF GEORGIA,1866629;
JOHNS HOPKINS UNIVERSITY,7905049;
"OREGON SOCIAL LEARNING CENTER, INC.",1878388;
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,1863588;
UNIVERSITY OF WISCONSIN-MADISON,1888314;
MAYO CLINIC ROCHESTER,7835298;
ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,6374207;
ERNEST GALLO CLINIC AND RESEARCH CENTER,1902312;
UNIV OF MASSACHUSETTS MED SCH WORCESTER,1882158;
ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,1863905;
UNIV OF ARKANSAS FOR MED SCIS,7757331;
UNIVERSITY OF ALABAMA AT BIRMINGHAM,1880105;
UNIVERSITY OF LOUISVILLE,6870954;
UNIVERSITY OF SOUTHERN CALIFORNIA,6767875;
UNIVERSITY OF SOUTHERN CALIFORNIA,8470374;
GEORGETOWN UNIVERSITY,8857703;
UNIVERSITY OF LOUISVILLE,1902075;
THOMAS JEFFERSON UNIVERSITY,1899205 (contact);8330864;
ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,1929819;
JOHNS HOPKINS UNIVERSITY,1867411;
YALE UNIVERSITY,8358422;
UNIVERSITY OF FLORIDA,2091694;
YALE UNIVERSITY,1870165;7094439 (contact);
UNIVERSITY OF IOWA,8218573;
UNIVERSITY OF IOWA,2432612;
UNIVERSITY OF IOWA,1970798;
UNIVERSITY OF CALIFORNIA AT DAVIS,1867229;
UNIVERSITY OF WASHINGTON,7366021;
NORTHSHORE UNIVERSITY HEALTHSYSTEM,6195704;
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,6840246;
BROWN UNIVERSITY,1922066;
BETH ISRAEL DEACONESS MEDICAL CENTER,6108770;
EMORY UNIVERSITY,1924904;
NATIONAL OPINION RESEARCH CENTER,2114514;
UNIVERSITY OF WISCONSIN-MADISON,7730664;
HUNTER COLLEGE,1887051;
JOHNS HOPKINS UNIVERSITY,6232922;
UNIVERSITY OF MARYLAND BALTIMORE,1970692;
NEW YORK UNIVERSITY SCHOOL OF MEDICINE,6899604;
CASE WESTERN RESERVE UNIVERSITY,1889040;
UNIVERSITY OF TEXAS HLTH SCIENCE CENTER,2428542;
PALO ALTO INSTITUTE,2204829;
DUKE UNIVERSITY,7949511;
STANFORD UNIVERSITY,1868685;
VIRGINIA COMMONWEALTH UNIVERSITY,1876233;
CORNELL UNIVERSITY,1985341;
UNIVERSITY OF ILLINOIS AT CHICAGO,8366727;
UNIVERSITY OF ALBERTA,1860364;
UNIVERSITY OF ALABAMA AT BIRMINGHAM,8634562;
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,1970678;
SEATTLE CHILDREN'S HOSPITAL,7613407;
NEW YORK UNIVERSITY SCHOOL OF MEDICINE,1876113;
YALE UNIVERSITY,2181782;
UNIVERSITY OF MARYLAND BALT CO CAMPUS,1878009;
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,6869238;
UNIVERSITY OF PENNSYLVANIA,1859048;
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,1867465;
UNIV OF MED/DENT OF NJ-NJ MEDICAL SCHOOL,1866979;
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2477098;
UT SOUTHWESTERN MEDICAL CENTER,7355532;
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,1865826;
DUKE UNIVERSITY,1857640;
UNIVERSITY OF WASHINGTON,8769982;
UNIVERSITY OF KANSAS MEDICAL CENTER,1867697;
EMORY UNIVERSITY,7614197;
TUFTS MEDICAL CENTER,6070528;
WASHINGTON UNIVERSITY,6487786;
UNIVERSITY OF MONTANA,7259165;
STANFORD UNIVERSITY,8136365;
INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,6490002;
UNIV OF MASSACHUSETTS MED SCH WORCESTER,1971554;
UNIVERSITY OF TENNESSEE HEALTH SCI CTR,1860095;
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",1882258;
BOSTON UNIVERSITY MEDICAL CAMPUS,8666855;
BUCK INSTITUTE FOR RESEARCH ON AGING,8241411;
UNIVERSITY OF MICHIGAN,1884063;
HOWARD UNIVERSITY,2091596;
UNIVERSITY OF MARYLAND BALTIMORE,6176730 (contact);1882036;
UNIVERSITY OF CALIFORNIA AT DAVIS,7743926;
SCRIPPS RESEARCH INSTITUTE,1877910;
UNIVERSITY OF MINNESOTA,2119292;
PENNSYLVANIA STATE UNIVERSITY-UNIV PARK,1869194;
UNIVERSITY OF KENTUCKY,8662513;
UNIVERSITY OF WISCONSIN-MADISON,7044001;
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",1961933;
BOSTON UNIVERSITY MEDICAL CAMPUS,8577893;
UNIVERSITY OF MARYLAND BALT CO CAMPUS,9091671;1878009 (contact);
HENRY FORD HEALTH SYSTEM,7642943;
WAKE FOREST UNIVERSITY HEALTH SCIENCES,8569150 (contact);9090112;
DUKE UNIVERSITY,1857640;
YALE UNIVERSITY,6986084;
UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,1867040;1888451 (contact);
WASHINGTON UNIVERSITY,1952881;
ALBERT EINSTEIN COLLEGE OF MEDICINE,7119747;
UNIVERSITY OF WASHINGTON,1889076;
BOSTON UNIVERSITY MEDICAL CAMPUS,7732969;
UNIVERSITY OF CALIFORNIA RIVERSIDE,1891760 (contact);1965641;
STANFORD UNIVERSITY,9088099;
JUDGE BAKER CHILDREN'S CENTER,1908478;
UNIVERSITY OF ROCHESTER,6764377;
CITY COLLEGE OF NEW YORK,1864271;
SPAULDING REHABILITATION HOSPITAL,3084754;
NORTHWESTERN UNIVERSITY AT CHICAGO,1865709;
WAKE FOREST UNIVERSITY HEALTH SCIENCES,8435684;
"TRUDEAU INSTITUTE, INC.",1865891;
KAISER FOUNDATION RESEARCH INSTITUTE,2220317;
UNIVERSITY OF CALIFORNIA LOS ANGELES,2404765;
UNIVERSITY OF MICHIGAN,1864252;
THOMAS JEFFERSON UNIVERSITY,8644407;
DUKE UNIVERSITY,1895062;
YALE UNIVERSITY,1970662;
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",6858573;
MAYO CLINIC  JACKSONVILLE,8506757;
UNIVERSITY OF MICHIGAN,7361545;
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2095227;
UNIVERSITY OF PENNSYLVANIA,6892221;
MEDICAL COLLEGE OF WISCONSIN,9062659;
HARVARD MEDICAL SCHOOL,9078088;
UT SOUTHWESTERN MEDICAL CENTER,6743237;
NATIONAL BUREAU OF ECONOMIC RESEARCH,8875355;
UNIVERSITY OF PENNSYLVANIA,1896122;
UNIVERSITY OF CALIFORNIA LOS ANGELES,1885534;
SOUTHERN ILLINOIS UNIVERSITY SCH OF MED,1970426;
UNIVERSITY OF SOUTH FLORIDA,7592575;
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",1876837;
BANNER SUN HEALTH RESEARCH INSTITUTE,1960168;
VANDERBILT UNIVERSITY,1878040;
NATIONAL BUREAU OF ECONOMIC RESEARCH,1901942;9208760;6720542 (contact);
UNIVERSITY OF ALABAMA AT BIRMINGHAM,1941703;
UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,1894799;
UNIV OF ARKANSAS FOR MED SCIS,7747038;
JACKSON LABORATORY,1878073;
NATIONAL BUREAU OF ECONOMIC RESEARCH,8232118;
CHILDREN'S HOSP OF PHILADELPHIA,1866050;
BRIGHAM AND WOMEN'S HOSPITAL,1901537;
HEBREW REHABILITATION CENTER FOR AGED,6095741;6789091 (contact);
MAYO CLINIC  JACKSONVILLE,6917017;
UNIVERSITY OF FLORIDA,1947272;
ALBERT EINSTEIN COLLEGE OF MEDICINE,8338686;
UNIVERSITY OF CALIFORNIA LOS ANGELES,1868863;
TUFTS UNIVERSITY BOSTON,6260295;
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",7605477;
OHIO STATE UNIVERSITY,8471081;
MEDICAL UNIVERSITY OF SOUTH CAROLINA,9339023;1960425 (contact);2405422;
UNIVERSITY OF VIRGINIA,7358005;
UNIVERSITY OF KENTUCKY,7993908;
BOSTON UNIVERSITY MEDICAL CAMPUS,1889062;
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,1940806;
JOSLIN DIABETES CENTER,6155044;
UNIVERSITY OF CALIFORNIA SAN DIEGO,1892376;
CINCINNATI CHILDRENS HOSP MED CTR,7555477 (contact);7618483;
UNIVERSITY OF WASHINGTON,1860313;
UNIVERSITY OF CALIFORNIA LOS ANGELES,7925331;7771959 (contact);
UNIVERSITY OF CALIFORNIA SAN DIEGO,1926731;
WAKE FOREST UNIVERSITY HEALTH SCIENCES,1939822;
UNIVERSITY OF ALABAMA AT BIRMINGHAM,7851633;6526547 (contact);
UT SOUTHWESTERN MEDICAL CENTER,8097658;7040026 (contact);
TUFTS MEDICAL CENTER,1867717;
SEATTLE INST FOR BIOMEDICAL/CLINICAL RES,1977393;
UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,1959956;
UNIVERSITY OF FLORIDA,8956628;
HEKTOEN INSTITUTE FOR MEDICAL RESEARCH,6488537;
BOSTON UNIVERSITY MEDICAL CAMPUS,8666855;
UNIVERSITY OF WISCONSIN-MADISON,1879907 (contact);7050754;
UNIVERSITY OF WASHINGTON,1893083;
BAYLOR COLLEGE OF MEDICINE,7354232;
UNIVERSITY OF WISCONSIN-MADISON,1883438;1861958 (contact);
PURDUE UNIVERSITY WEST LAFAYETTE,1860068;
BUCK INSTITUTE FOR RESEARCH ON AGING,9426835;
UNIVERSITY OF ILLINOIS AT CHICAGO,8336939;
LOYOLA UNIVERSITY CHICAGO,7641629;
UNIVERSITY OF WASHINGTON,1864233;
UNIVERSITY OF WISCONSIN-MADISON,1898345;
UNIVERSITY OF KENTUCKY,8361727;
RUSH UNIVERSITY MEDICAL CENTER,6436728;
UNIVERSITY OF WASHINGTON,2094727;
WAKE FOREST UNIVERSITY HEALTH SCIENCES,7507327;
UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,9221939;
NATIONAL OPINION RESEARCH CENTER,1861051;
CALIFORNIA INSTITUTE OF TECHNOLOGY,1862714;
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,1865146;
FLORIDA STATE UNIVERSITY,1863798;
UNIVERSITY OF GEORGIA,6923650;
HARVARD MEDICAL SCHOOL,1906467;
ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,7951270;
EMORY UNIVERSITY,7369233;
BANNER SUN HEALTH RESEARCH INSTITUTE,2050620;2201220 (contact);
UNIVERSITY OF MARYLAND BALT CO CAMPUS,8058335;
COLUMBIA UNIVERSITY HEALTH SCIENCES,1859473;
HARVARD MEDICAL SCHOOL,2236807;
UNIVERSITY OF NORTH DAKOTA,1944805;
PORTLAND STATE UNIVERSITY,2094281;
UNIVERSITY OF MICHIGAN,1930347;
UNIVERSITY OF CALIFORNIA BERKELEY,1943886;
RUSH UNIVERSITY MEDICAL CENTER,6436728;
UNIVERSITY OF CALIFORNIA LOS ANGELES,1879499;
HARVARD MEDICAL SCHOOL,2149352;
ALBERT EINSTEIN COLLEGE OF MEDICINE,1881928;
BUCK INSTITUTE FOR RESEARCH ON AGING,7738701;
UNIVERSITY OF CALIFORNIA LOS ANGELES,1858536;
PRINCETON UNIVERSITY,1928674;
UNIVERSITY COLLEGE LONDON,9371612;9518055 (contact);
SYRACUSE UNIVERSITY,1860805;
UNIVERSITY OF CALIFORNIA LOS ANGELES,2401990;
UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,3107245;
DUKE UNIVERSITY,1918559;
BRIGHAM AND WOMEN'S HOSPITAL,1870354;
MASSACHUSETTS GENERAL HOSPITAL,1899502;
UNIVERSITY OF CALIF-LAWRENC BERKELEY LAB,1878669;
STATE UNIVERSITY NEW YORK STONY BROOK,1872078;
DUKE UNIVERSITY,2429786;
WASHINGTON UNIVERSITY,2192067 (contact);1858555;
UNIVERSITY OF CALIFORNIA LOS ANGELES,1894519;
UNIVERSITY OF KENTUCKY,2405844;
JOHNS HOPKINS UNIVERSITY,8250445;
UNIVERSITY OF CALIFORNIA-IRVINE,1906960;
UNIVERSITY OF KANSAS MEDICAL CENTER,7370713;
UNIVERSITY OF CINCINNATI,6061248;
COLUMBIA UNIVERSITY HEALTH SCIENCES,1884949;
STANFORD UNIVERSITY,1889223;
UNIVERSITY OF CALIFORNIA BERKELEY,1866590;
GEORGIA  REGENTS UNIVERSITY,2211982;
UNIVERSITY OF CALIFORNIA-IRVINE,1871435;
NATIONAL OPINION RESEARCH CENTER,1896233;
UNIVERSITY OF MINNESOTA,1876457;
UNIVERSITY OF CALIFORNIA LOS ANGELES,1864535;
SCRIPPS RESEARCH INSTITUTE,1877910;
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,6075380;
UNIVERSITY OF GEORGIA,9797223;1886122 (contact);
UNIVERSITY OF ARIZONA,6650454;
GEORGIA INSTITUTE OF TECHNOLOGY,7852970;
UNIVERSITY OF TEXAS HLTH SCIENCE CENTER,3087821;
BROWN UNIVERSITY,1887597;
UNIVERSITY OF WASHINGTON,1893083;
UNIVERSITY OF WASHINGTON,1878018;
KING'S COLLEGE LONDON,9617724;
COLUMBIA UNIVERSITY HEALTH SCIENCES,1861947;1891538 (contact);
CITY OF HOPE/BECKMAN RESEARCH INSTITUTE,1883467;
RUSH UNIVERSITY MEDICAL CENTER,1970444;
BANNER SUN HEALTH RESEARCH INSTITUTE,1894349;
UNIVERSITY OF CHICAGO,8545570;
UNIVERSITY OF KANSAS LAWRENCE,7941735 (contact);9591407;
WEILL MEDICAL COLL OF CORNELL UNIV,7606781;
UNIVERSITY OF MICHIGAN,7573415;
UNIVERSITY OF CALIFORNIA BERKELEY,1882178;
BAYLOR COLLEGE OF MEDICINE,8258615;
UNIVERSITY OF CONNECTICUT STORRS,2073687 (contact);8928163;
TUFTS MEDICAL CENTER,1859206;
UNIVERSITY OF ALABAMA AT BIRMINGHAM,7011773;
ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,2081054;
UNIVERSITY OF CALIFORNIA LOS ANGELES,7912012;1869163 (contact);
NEW YORK UNIVERSITY SCHOOL OF MEDICINE,6694232;
YALE UNIVERSITY,6167174;
SCRIPPS RESEARCH INSTITUTE,1874666;
TUFTS MEDICAL CENTER,1859206;
UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,1895731;
HARVARD SCHOOL OF PUBLIC HEALTH,1877980;
UNIVERSITY OF GEORGIA,1871422;
SEATTLE BIOMEDICAL RESEARCH INSTITUTE,1889183;
UNIVERSITY OF ROCHESTER,7016955;
WEILL MEDICAL COLL OF CORNELL UNIV,7054898;
SLOAN-KETTERING INST CAN RESEARCH,8518223;
ALBANY MEDICAL COLLEGE,1875905;
BETH ISRAEL DEACONESS MEDICAL CENTER,1891254;
UNIVERSITY OF CHICAGO,1900044;
UNIVERSITY OF CALIFORNIA BERKELEY,1860526;
PENNSYLVANIA STATE UNIVERSITY,1883861;
UNIVERSITY OF CONNECTICUT SCH OF MED/DNT,7745021;
UNIVERSITY OF MINNESOTA,7026839;
UNIVERSITY OF ROCHESTER,6404316;
THOMAS JEFFERSON UNIVERSITY,8311625;
"UNIV OF MARYLAND, COLLEGE PARK",1864533;
UNIVERSITY OF MICHIGAN,7356772;
WASHINGTON UNIVERSITY,7803727;
STANFORD UNIVERSITY,8149151;
MEDICAL COLLEGE OF WISCONSIN,1899390;8262476 (contact);
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",1893245;
BRIGHAM AND WOMEN'S HOSPITAL,1894278;
UNIVERSITY OF CALIFORNIA BERKELEY,1858537;
VANDERBILT UNIVERSITY,6488277;
UNIVERSITY OF ILLINOIS AT CHICAGO,7736228;
SCRIPPS RESEARCH INSTITUTE,1886591;
UNIVERSITY OF CALIFORNIA SAN DIEGO,1882172;
CHILDREN'S HOSPITAL (NEW ORLEANS),7144547;
UNIVERSITY OF MARYLAND BALTIMORE,7693593;
UNIVERSITY OF TX MD ANDERSON CAN CTR,1893681;
BOSTON COLLEGE,1895570;
UNIVERSITY OF IOWA,1860040;
YALE UNIVERSITY,6138391;
CINCINNATI CHILDRENS HOSP MED CTR,8134077;
DUKE UNIVERSITY,6712971;
UNIVERSITY OF MISSOURI-COLUMBIA,1877267;
UNIVERSITY OF TEXAS SAN ANTONIO,6277762;
CLEVELAND CLINIC LERNER COM-CWRU,8632724;
UNIVERSITY OF WISCONSIN-MADISON,1928676;
DUKE UNIVERSITY,6712971;
VANDERBILT UNIVERSITY,8329099;
LA JOLLA INST FOR ALLERGY &IMMUNOLGY,8659902;
WASHINGTON UNIVERSITY,1925106;
MASSACHUSETTS GENERAL HOSPITAL,8304456;
SALK INSTITUTE FOR BIOLOGICAL STUDIES,2185790;
UNIVERSITY OF WASHINGTON,1940486;
UNIVERSITY OF ROCHESTER,7239321;
CHILDREN'S HOSPITAL CORPORATION,8576825;
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",1888871;
YALE UNIVERSITY,1925241;
UNIVERSITY OF TENNESSEE HEALTH SCI CTR,1866462;
HARVARD SCHOOL OF PUBLIC HEALTH,1882086;
WEILL MEDICAL COLL OF CORNELL UNIV,6786857;
VACCINE RESEARCH INSTITUTE OF SAN DIEGO,1878830;
BRIGHAM AND WOMEN'S HOSPITAL,1881430;
UNIV OF MASSACHUSETTS MED SCH WORCESTER,1946839;
BETH ISRAEL DEACONESS MEDICAL CENTER,1898248;
SCRIPPS RESEARCH INSTITUTE,1877866;
GEORGIA  REGENTS UNIVERSITY,2091767;
NORTHWESTERN UNIVERSITY AT CHICAGO,2101796;
BAYLOR COLLEGE OF MEDICINE,7353710;
"STATE UNIVERSITY OF NY,BINGHAMTON",7332019;
UNIVERSITY OF CHICAGO,2223709;
MAYO CLINIC ROCHESTER,7367065;
DREXEL UNIVERSITY,1873015;
SCRIPPS RESEARCH INSTITUTE,1862613;
ALBANY MEDICAL COLLEGE,1866379;
UNIVERSITY OF CALIFORNIA SAN DIEGO,1897205;8328370 (contact);
UNIV OF MASSACHUSETTS MED SCH WORCESTER,7973281;
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2099443;
TULANE UNIVERSITY OF LOUISIANA,1872687;
UNIVERSITY OF MD BIOTECHNOLOGY INSTITUTE,1970988;
UNIVERSITY OF IOWA,8869455;1946674 (contact);
UNIVERSITY OF IOWA,6714880;
UNIVERSITY OF CALIFORNIA AT DAVIS,7729275;1969601 (contact);1888915;
UNIVERSITY OF PENNSYLVANIA,1891718;
YALE UNIVERSITY,7747448;
PRINCETON UNIVERSITY,8765219;
UNIVERSITY OF MINNESOTA,7333045;
DARTMOUTH COLLEGE,1888858;
CARNEGIE-MELLON UNIVERSITY,6715549;
UNIVERSITY OF WASHINGTON,1945434;
WEILL MEDICAL COLL OF CORNELL UNIV,1878831;
RESEARCH INST NATIONWIDE CHILDREN'S HOSP,8552019;
NORTHEASTERN UNIVERSITY,2419436;
UNIVERSITY OF ALABAMA AT BIRMINGHAM,7647857;
UNIVERSITY OF MISSOURI-COLUMBIA,1877267;
SCRIPPS RESEARCH INSTITUTE,8871482;
RESEARCH INST NATIONWIDE CHILDREN'S HOSP,6651412;
UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,8248287;
ALBANY MEDICAL COLLEGE,1865902;
TEMPLE UNIV OF THE COMMONWEALTH,6699871;
WASHINGTON UNIVERSITY,1928100;
STANFORD UNIVERSITY,7707508;
UNIVERSITY OF CONNECTICUT SCH OF MED/DNT,1877231;
UNIVERSITY OF CALIFORNIA-IRVINE,7951320;
CHILDREN'S HOSPITAL CORPORATION,8130435;
COLUMBIA UNIVERSITY HEALTH SCIENCES,1938929;
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",1888896;
UNIVERSITY OF CALIFORNIA RIVERSIDE,8573916;
MASSACHUSETTS GENERAL HOSPITAL,1877591;
HENRY M. JACKSON FDN FOR THE ADV MIL/MED,8148984;
"TRUDEAU INSTITUTE, INC.",1867451;
UNIVERSITY OF CALIFORNIA SAN DIEGO,1901996;
TUFTS UNIVERSITY BOSTON,1952677;
UNIVERSITY OF NOTRE DAME,1926510;
CORNELL UNIVERSITY,8033808;
UNIVERSITY OF WASHINGTON,6417303;
UNIVERSITY OF ROCHESTER,1939323;
DREXEL UNIVERSITY,9020171;
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,8523910;2452936 (contact);
BOSTON MEDICAL CENTER,1946225;
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,7113695;
UNIVERSITY OF IOWA,1858940;
VANDERBILT UNIVERSITY,1884148;
UNIVERSITY OF PENNSYLVANIA,1859116;
UNIVERSITY OF GEORGIA,1877815;
UNIVERSITY OF MARYLAND BALTIMORE,1886504;
INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,8870359;
UNIVERSITY OF GEORGIA,2051144;
UNIVERSITY OF CALIFORNIA AT DAVIS,1902327;
UNIVERSITY OF ALABAMA AT BIRMINGHAM,1880555;
UNIVERSITY OF WISCONSIN-MADISON,1864866;
CHILDREN'S HOSPITAL CORPORATION,1886160;
STANFORD UNIVERSITY,7098595;
WASHINGTON UNIVERSITY,1902747;
NATIONAL JEWISH HEALTH,1884102;
JOHNS HOPKINS UNIVERSITY,6193153;
UT SOUTHWESTERN MEDICAL CENTER,7028611;
UNIVERSITY OF WASHINGTON,1890394;
UNIVERSITY OF WASHINGTON,1969637;
VIRGINIA POLYTECHNIC INST AND ST UNIV,8583013;
INDOOR BIOTECHNOLOGIES,6209475;2422043;7692324 (contact);
UNIVERSITY OF CALIFORNIA SAN DIEGO,1860044;
UNIVERSITY OF SOUTH FLORIDA,6448374;
WADSWORTH CENTER,2090412;
UNIVERSITY OF ROCHESTER,1927533;
LA BIOMED RES INST/ HARBOR UCLA MED CTR,7647557;
INDIANA UNIVERSITY BLOOMINGTON,1923426;
COLUMBIA UNIVERSITY HEALTH SCIENCES,1866611;
SCRIPPS RESEARCH INSTITUTE,1862613 (contact);9075979;
OHIO STATE UNIVERSITY,2452564;
UNIVERSITY OF KANSAS LAWRENCE,1900766;
LOUISIANA STATE UNIV A&M COL BATON ROUGE,6938260;
STANFORD UNIVERSITY,7098595;
"UNIVERSITY OF TEXAS, AUSTIN",9077494;
JOHNS HOPKINS UNIVERSITY,7289265;
LOUISIANA STATE UNIV A&M COL BATON ROUGE,6914846;
RICE UNIVERSITY,1899325;8134800 (contact);
UNIVERSITY OF CALIFORNIA LOS ANGELES,7912012;
RESEARCH INST NATIONWIDE CHILDREN'S HOSP,1864120;
UNIV OF NORTH CAROLINA CHAPEL HILL,1881976;
UNIV OF MED/DENT OF NJ-NJ MEDICAL SCHOOL,1923816;
DARTMOUTH COLLEGE,1889849;
WHITTEMORE PETERSON INSTITUTE,9093498;6900918 (contact);
STATE UNIVERSITY NEW YORK STONY BROOK,1858402;
UNIVERSITY OF CHICAGO,7110051;
LA JOLLA INST FOR ALLERGY &IMMUNOLGY,6472800;
UNIVERSITY OF MASSACHUSETTS AMHERST,6618943;
GEORGIA  REGENTS UNIVERSITY,1867489;
